"","site","species","treatment","meanCalc","sdCalc","nCalc","seCalc"
"1","Emerald","Ofav","control pH",0.036102507,0.00987086604199044,5,0.00441438549333698
"2","Emerald","Ofav","low pH",0.033644848,0.0143832777978429,5,0.00643239737904803
"3","Emerald","Ssid","control pH",0.037624518,0.00175069123891322,5,0.000782932923564656
"4","Emerald","Ssid","low pH",0.026126385,0.0135387525311109,5,0.00605471419802227
"5","Rainbow","Ofav","control pH",0.03488304,0.015965502590677,5,0.00713998981754053
"6","Rainbow","Ofav","low pH",0.030705486,0.0169973272793068,5,0.00760143584646832
"7","Rainbow","Ssid","control pH",0.038054424,0.0149943221682181,5,0.00670566472893355
"8","Rainbow","Ssid","low pH",0.022169766,0.0117194959878568,5,0.00524111793817679
"9","Star Island","Ofav","control pH",0.033897547,0.00903714537076324,5,0.00404153427431483
"10","Star Island","Ofav","low pH",0.026677194,0.01937193534603,5,0.00866339285789081
"11","Star Island","Ssid","control pH",0.051960205,0.0101933454211485,5,0.00455860265596487
"12","Star Island","Ssid","low pH",0.035743157,0.0251696468578173,5,0.0112562082687487
"13","MacArthur North","Ofav","control pH",0.031409034,0.00935981825033638,5,0.00418583797295906
"14","MacArthur North","Ofav","low pH",0.0250990464285714,0.0211608795225802,7,0.00799806067716379
"15","MacArthur North","Ssid","control pH",0.058930673,0.00864063909711443,5,0.00386421127803806
"16","MacArthur North","Ssid","low pH",0.044552339,0.0126370281698474,5,0.00565145080427172
"17",NA,"control","control pH",0,0.0123521725889031,2,0.008734305
"18",NA,"control","low pH",0,0.00147338425782279,2,0.00104184
